"Job ID",Agency,"Posting Type","# Of Positions","Business Title","Civil Service Title","Title Classification","Title Code No",Level,"Job Category","Full-Time/Part-Time indicator","Career Level","Salary Frequency","Work Location","Division/Work Unit",Hours/Shift,"Work Location 1","Residency Requirement","Posting Date","Post Until","Posting Updated","Process Date",Salary_Range_From,Salary_Range_To,Job_Category_Industry,Hours_Shift_Simplified,Salary_Range_From_Modified,Salary_Range_To_Modified
637698,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"EXECUTIVE DIRECTOR OF THE MENTAL HYGIENE  POLICY & COMMUNICATIONS,  OFFICE OF EXECUTIVE DEPUTY COMMISSIONER","CITY RESEARCH SCIENTIST",Non-Competitive-5,21744,4B,"Health Policy, Research & Analysis",FT,"Experienced (non-manager)",Annual,"City Hall","Executive Deputy Com",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/10/2024,7-Nov-24,7/10/2024,8/6/2024,$105746,$150000,"Policy, Research & Analysis",N/A,$105746,$150000
643197,"FIRE DEPARTMENT",External,4,"ASSOCIATE INVESTIGATOR","ASSOCIATE INVESTIGATOR (NOT PR",Competitive-1,31121,1,"Administration & Human Resources",FT,"Experienced (non-manager)",Annual,"Candidate Investigation Divisi","Candidate Investigation Div",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/23/2024,7-Aug-24,7/25/2024,8/6/2024,$57490,$85912,"Administration & Human Resources",N/A,$57490,$85912
642391,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"EYEGLASS DISTRIBUTION SUPERVISOR, BUREAU OF SCHOOL HEALTH","COMMUNITY COORDINATOR",Non-Competitive-5,56058,0,"Constituent Services & Community Programs Health",FT,"Experienced (non-manager)",Annual,"30-30 47TH AVE","SH Vision",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/16/2024,16-Jul-25,7/16/2024,8/6/2024,$60889,$78923,Health,N/A,$60889,$78923
624843,"DEPARTMENT OF TRANSPORTATION",External,1,"BOB- ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER","ADM CONSTRUCTION PRJ MGR-NM",Competitive-1,8299A,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bridge Repair/PM Headquarters",8am-4pm,"55 Water St Ny Ny","New York City Residency is not required for this position.",3/2/2024,N/A,3/5/2024,8/6/2024,$58682,$159671,"Engineering, Architecture, & Planning","8 AM - 4 PM",$58682,$159671
593029,"DEPT OF DESIGN & CONSTRUCTION",External,1,"DEPUTY DIRECTOR","ADM ENGINEER (NON MGRL)",Competitive-1,1001A,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"40 Worth St., N.Y.",INFRA/CONST.MGMT3/MAN/SEC2,"35 Hours","40 Worth St., N.Y.","New York City Residency is not required for this position.",9/1/2023,N/A,9/1/2023,8/6/2024,$58682,$134570,"Engineering, Architecture, & Planning","35 Hours Per Week",$58682,$134570
631996,"DEPT OF CITYWIDE ADMIN SVCS",External,1,"SENIOR ADVISOR, REAL ESTATE SERVICES","ASSISTANT COMMISSIONER (DCAS)",Non-Competitive-5,95613,M4,"Finance, Accounting, & Procurement",FT,Executive,Annual,"1 Centre St., N.Y.","RES/Executive Office",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/22/2024,20-Oct-24,7/22/2024,8/6/2024,$190000,$205000,"Finance, Accounting, & Procurement",N/A,$190000,$205000
551201,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"STATIONARY ENGINEER (ELECTRIC)","STATIONARY ENGINEER (ELECTRIC)",Competitive-1,91645,0,"Building Operations & Maintenance",FT,"Experienced (non-manager)",Hourly,"1270 Victory Blvd, Staten Isl","NEW CLOVE PUMPING STATION",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",9/16/2022,N/A,9/16/2022,8/6/2024,$63,$63,"Building Operations & Maintenance",N/A,$63,$63
637012,"OFFICE OF THE COMPTROLLER",Internal,1,"EXECUTIVE DIRECTOR, BUREAU OF ENGINEERING","ADMINISTRATIVE ENGINEER",Competitive-1,10015,M5,"Engineering, Architecture, & Planning",FT,Manager,Annual,"1 Centre St., N.Y.",Engineering,N/A,N/A,"New York City Residency is not required for this position.",5/24/2024,22-Aug-24,5/24/2024,8/6/2024,$160000,$170000,"Engineering, Architecture, & Planning",N/A,$160000,$170000
638295,"HOUSING PRESERVATION & DVLPMNT",External,1,"CASE MANAGER FOR THE DIVISION OF TENANT AND OWNER RESOURCES","COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Constituent Services & Community Programs",FT,"Experienced (non-manager)",Annual,"100 Gold Street","HOUSING CHOICE VOUCHER TENANCY",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/12/2024,11-Aug-24,6/12/2024,8/6/2024,$48170,$48170,"Constituent Services & Community Programs",N/A,$48170,$48170
638594,"BRONX DISTRICT ATTORNEY",Internal,1,"INTELLIGENCE ANALYST - COMMUNITY ASSOCIATE","COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Technology, Data & Innovation Legal Affairs Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"260 E 161st St., Brx","Support Staff",N/A,N/A,"New York City Residency is not required for this position.",6/17/2024,17-Jun-25,6/17/2024,8/6/2024,$60000,$60000,"Technology, Data & Innovation",N/A,$60000,$60000
